Area (px^2),Perimeter (px),Width (px),Height (px),Aspect Ratio,Roundness,Bounding Box Top,Bounding Box Bottom,Green Projected Area,Yellow Projected Area,Yellow-Green Ratio,Green Area Ratio,Yellow Area Ratio,Leaf Gray Mean,Leaf Gray Variance,ExG Mean,ExG Variance,Filename,,day,Yellow-Green Ratio,Green Area Ratio,Yellow Area Ratio
578722.5,19617.70886,1655,2712,0.610250735,0.0188966,0,2712,298133,18805,0.063075876,0.79772509,0.050317208,72.3743809,609.1363655,45.649456,553.1733,1,jpg,1,0.78,0.05,0.064
470380.5,22287.22773,1715,2665,0.643527202,0.011900003,47,2712,291921,13009,0.044563426,0.80861855,0.036034813,65.90142987,637.1547189,44.94985,538.30975,2,jpg,2,0.8,0.04,0.05
361025.5,21580.23938,1816,1852,0.98056155,0.009741711,393,2245,253904,15086,0.059416157,0.749198143,0.044514475,68.83274467,780.202562,41.725582,614.4775,3,jpg,3,0.74,0.048,0.065
475374,25299.87657,2169,2305,0.940997827,0.009332725,360,2665,253137,15658,0.061855833,0.689491088,0.042649046,72.4510808,693.0609622,35.242916,476.31186,4,jpg,4,0.7,0.06,0.086
300234,21397.63865,1762,2188,0.805301642,0.008240205,524,2712,198882,9064,0.045574763,0.716790047,0.032667536,73.02738393,707.0859575,38.407223,560.7091,5,jpg,5,0.65,0.078,0.12
273416,12616.01319,844,2712,0.311209438,0.021586862,0,2712,134824,29784,0.220910224,0.608815415,0.134493549,79.72756747,895.3494099,37.610065,859.8771,6,jpg,6,0.59,0.095,0.161
232830,17359.27881,1004,2207,0.454916174,0.009709245,307,2514,134938,17154,0.12712505,0.583566146,0.074185876,71.28489383,934.4420635,26.618843,480.1612,7,jpg,7,0.52,0.12,0.231
256502,16077.38645,1247,2267,0.550066164,0.012470094,415,2682,95515,31406,0.328806994,0.437267666,0.143776667,76.64178066,1217.720211,22.720224,467.75012,8,jpg,8,0.4,0.145,0.363
526658,17065.61185,1236,1937,0.638100152,0.022724525,694,2631,62929,20950,0.332914872,0.237323739,0.079008602,93.13437119,1012.675576,9.352703,327.01627,9,jpg,10,0.26,0.16,0.615
430470.5,15702.28265,1018,1814,0.561190736,0.021939548,898,2712,57843,50530,0.873571564,0.248782817,0.217329594,93.09854024,1210.305239,10.803617,609.4586,10,jpg,12,0.18,0.185,1.028
177427.5,13801.73848,1005,1548,0.649224802,0.011704779,1012,2560,5843,36490,6.245079572,0.032556429,0.203317491,99.69805486,1558.879064,0.6319558,467.90994,11,jpg,14,0.12,0.2,1.667
512792.5,17265.87296,1578,1547,1.020038778,0.021615956,914,2461,12720,21821,1.71548742,0.057005082,0.097791501,103.3311762,1197.698835,-5.61025,413.99606,12,jpg,16,0.1,0.19,1.9
427151,14268.54374,1585,1401,1.131334753,0.026365256,910,2311,35539,23203,0.652888376,0.135837907,0.088686991,100.3470233,1366.188567,-0.31039873,657.57916,13,jpg,18,0.14,0.16,1.143
414693.5,15905.99069,1379,1825,0.755616434,0.020597554,775,2600,22683,10674,0.470572675,0.094557021,0.04449595,107.9132258,1191.420126,-5.3723,467.6782,14,jpg,20,0.16,0.12,0.75
